ID,Location,Mode_of_delivery,Calls_to_customer_care,Rating_of_customer,Cost_of_food,Prior_purchases,Gender_of_customer,Discount_offered,Weight_of_food_in_gms,Reached_on_time
7398,Hitech City,Auto,4,2.0,369.0,6.0,M,5,1622,0
6206,Hitech City,Bike,3,,189.0,10.0,M,3,4073,1
1931,Masab Tank,Auto,4,4.0,318.0,,M,16,2494,1
2293,Gachibowli,Bike,3,5.0,402.0,4.0,M,5,3446,1
2786,Hitech City,Bike,5,3.0,223.5,7.0,F,51,1425,1
9583,Gachibowli,Car,5,5.0,276.0,2.0,M,9,4649,1
2185,Gachibowli,Car,3,2.0,306.0,2.0,F,35,2090,1
5923,Gachibowli,Bike,3,3.0,312.0,,F,5,5661,0
9173,Masab Tank,Car,6,1.0,462.0,,F,7,1260,1
9705,Secunderabad,Car,5,2.0,408.0,5.0,M,8,1317,0
1904,Hitech City,Car,2,,444.0,5.0,M,29,1648,1
10636,Khairtabad,Bike,4,2.0,307.5,2.0,M,10,4641,1
9858,Hitech City,Car,4,5.0,405.0,3.0,M,1,4131,0
7360,Khairtabad,Bike,3,5.0,361.5,4.0,F,3,5051,0
277,Gachibowli,Auto,4,2.0,204.0,3.0,F,65,1962,1
841,Gachibowli,Bike,3,,348.0,3.0,M,9,2958,1
877,Gachibowli,Bike,3,3.0,370.5,,M,55,3461,1
4613,Masab Tank,Bike,4,2.0,307.5,2.0,F,10,5580,0
2025,Secunderabad,Bike,3,4.0,315.0,3.0,F,7,2878,1
1324,Khairtabad,Bike,5,1.0,337.5,2.0,M,31,3454,1
1707,Secunderabad,Bike,4,4.0,220.5,5.0,F,33,1886,1
2003,Masab Tank,Bike,3,1.0,403.5,2.0,F,35,3524,1
2157,Secunderabad,Bike,3,1.0,225.0,2.0,M,9,1158,1
721,Gachibowli,Bike,5,3.0,255.0,3.0,F,12,1018,1
7977,Secunderabad,Bike,3,4.0,363.0,10.0,M,5,4127,0
2637,Secunderabad,Bike,4,,231.0,3.0,M,10,1711,1
8509,Gachibowli,Auto,3,3.0,396.0,3.0,F,6,5482,1
5879,Masab Tank,Car,4,2.0,402.0,3.0,M,1,4927,0
1576,Khairtabad,Bike,4,4.0,229.5,3.0,M,13,1402,1
7346,Hitech City,Bike,4,3.0,256.5,,F,8,4826,0
5467,Gachibowli,Car,6,1.0,423.0,4.0,M,4,1716,0
4001,Masab Tank,Bike,4,5.0,240.0,6.0,F,4,4684,1
6761,Masab Tank,Bike,4,2.0,349.5,2.0,M,7,5546,1
8473,Gachibowli,Car,3,3.0,340.5,3.0,M,3,5644,0
5435,Masab Tank,Bike,4,,361.5,3.0,F,8,5206,1
3849,Secunderabad,Auto,3,4.0,336.0,2.0,M,8,4162,0
5502,Hitech City,Bike,6,,427.5,4.0,M,6,1016,1
494,Hitech City,Bike,5,4.0,339.0,5.0,M,47,2240,1
6140,Hitech City,Car,4,,333.0,3.0,F,7,5844,0
4830,Hitech City,Bike,3,2.0,276.0,3.0,F,8,4994,0
8400,Hitech City,Bike,5,1.0,208.5,3.0,F,1,5953,1
10461,Secunderabad,Bike,4,2.0,400.5,5.0,M,3,1933,1
628,Khairtabad,Bike,4,2.0,285.0,5.0,F,38,3022,1
6718,Khairtabad,Auto,4,3.0,306.0,3.0,M,2,5010,0
2165,Masab Tank,Bike,5,4.0,247.5,,F,48,1240,1
2547,Secunderabad,Bike,3,,285.0,10.0,M,32,2931,1
6526,Khairtabad,Bike,4,4.0,265.5,,M,6,5451,1
1780,Khairtabad,Auto,3,2.0,253.5,2.0,M,61,1511,1
9146,Hitech City,Bike,6,3.0,418.5,4.0,M,7,1090,1
5786,Hitech City,Bike,4,,381.0,5.0,F,3,1880,1
1181,Masab Tank,Bike,5,2.0,286.5,,F,6,2059,1
4499,Masab Tank,Car,3,4.0,403.5,2.0,M,6,5951,0
2336,Hitech City,Auto,5,5.0,409.5,3.0,F,18,2415,1
8281,Gachibowli,Bike,5,4.0,399.0,3.0,M,2,5260,1
2389,Gachibowli,Bike,4,5.0,220.5,,F,19,1940,1
552,Hitech City,Auto,3,5.0,349.5,3.0,M,52,3519,1
8353,Gachibowli,Auto,6,,453.0,4.0,F,7,1592,0
9015,Secunderabad,Bike,4,5.0,205.5,2.0,M,6,4055,1
5101,Gachibowli,Bike,3,,411.0,3.0,M,5,4710,1
3997,Gachibowli,Bike,3,3.0,240.0,2.0,M,6,5667,0
3820,Khairtabad,Car,5,5.0,276.0,3.0,F,2,5800,0
1475,Masab Tank,Bike,3,1.0,345.0,2.0,F,18,2832,1
6168,Hitech City,Auto,4,3.0,271.5,3.0,F,5,5398,1
659,Masab Tank,Car,4,4.0,253.5,3.0,M,23,1058,1
9521,Masab Tank,Bike,5,1.0,304.5,3.0,M,10,4750,0
9804,Hitech City,Bike,3,,366.0,3.0,M,4,4458,0
8358,Hitech City,Auto,4,5.0,370.5,5.0,M,6,1737,0
6580,Khairtabad,Auto,5,,360.0,6.0,F,9,1117,0
10137,Secunderabad,Auto,3,4.0,261.0,3.0,F,3,5366,1
4343,Masab Tank,Bike,5,,358.5,2.0,M,5,5759,1
10789,Gachibowli,Bike,4,,361.5,5.0,M,6,1324,0
1895,Masab Tank,Car,3,,252.0,3.0,M,15,1862,1
4444,Khairtabad,Bike,3,2.0,384.0,2.0,F,9,4228,1
5960,Hitech City,Bike,3,4.0,199.5,8.0,F,10,5439,1
5431,Gachibowli,Bike,5,3.0,292.5,4.0,F,9,5577,0
776,Hitech City,Bike,3,1.0,405.0,3.0,F,61,3582,1
7251,Secunderabad,Car,5,1.0,265.5,2.0,M,9,4881,0
10087,Gachibowli,Bike,4,3.0,390.0,3.0,M,1,4796,0
46,Khairtabad,Bike,5,,315.0,3.0,F,9,2944,1
1713,Secunderabad,Bike,3,4.0,363.0,5.0,M,5,2307,1
7165,Gachibowli,Bike,5,,337.5,5.0,M,7,1476,0
8458,Khairtabad,Bike,3,2.0,268.5,3.0,M,4,4102,1
1698,Hitech City,Bike,3,,394.5,3.0,F,44,3802,1
3328,Khairtabad,Bike,4,3.0,364.5,3.0,M,1,5021,0
8390,Hitech City,Bike,3,1.0,339.0,2.0,M,7,4703,0
8806,Khairtabad,Bike,3,1.0,264.0,2.0,F,4,5726,0
5261,Masab Tank,Bike,6,5.0,384.0,4.0,M,5,1033,1
5591,Masab Tank,Car,5,5.0,292.5,4.0,M,1,4482,0
4489,Gachibowli,Bike,4,4.0,202.5,2.0,F,4,5112,0
3994,Khairtabad,Bike,3,3.0,331.5,3.0,M,5,4568,1
10182,Hitech City,Bike,6,1.0,400.5,4.0,M,9,1146,1
10599,Secunderabad,Bike,4,2.0,265.5,3.0,M,5,5757,0
8837,Masab Tank,Bike,6,4.0,387.0,4.0,M,9,1104,0
9235,Gachibowli,Bike,4,3.0,211.5,3.0,F,3,4249,0
5975,Masab Tank,Bike,4,3.0,411.0,2.0,M,1,4762,0
5499,Secunderabad,Bike,7,3.0,421.5,4.0,M,1,1215,1
4239,Secunderabad,Car,2,5.0,409.5,2.0,M,5,4236,0
8563,Gachibowli,Bike,4,4.0,343.5,5.0,M,7,1049,1
6746,Hitech City,Bike,4,4.0,304.5,,F,10,5192,0
6905,Masab Tank,Bike,6,5.0,418.5,4.0,M,7,1300,0
6848,Hitech City,Auto,4,1.0,258.0,3.0,F,10,5106,1
5635,Gachibowli,Bike,3,4.0,217.5,,F,5,5513,0
10632,Hitech City,Bike,4,2.0,345.0,3.0,F,5,5888,0
7078,Khairtabad,Bike,4,1.0,288.0,4.0,M,5,4142,1
3814,Khairtabad,Car,2,5.0,166.5,2.0,M,4,4473,1
9141,Secunderabad,Bike,6,,423.0,4.0,M,7,1758,0
1073,Masab Tank,Car,4,,297.0,2.0,F,5,2270,1
4958,Hitech City,Bike,6,4.0,226.5,3.0,F,10,5414,1
6960,Hitech City,Bike,5,3.0,309.0,3.0,F,1,4645,0
3405,Secunderabad,Car,5,5.0,348.0,4.0,M,3,5447,0
1036,Khairtabad,Bike,3,5.0,379.5,2.0,M,17,2205,1
3651,Secunderabad,Bike,3,5.0,247.5,3.0,M,3,5409,0
37,Gachibowli,Bike,3,5.0,205.5,4.0,F,62,1477,1
6771,Secunderabad,Bike,3,2.0,205.5,3.0,F,4,5617,0
7076,Hitech City,Bike,4,3.0,367.5,4.0,M,8,5982,1
9903,Secunderabad,Bike,3,5.0,241.5,3.0,F,10,5663,1
6683,Masab Tank,Bike,5,4.0,367.5,3.0,M,4,4298,0
373,Gachibowli,Bike,4,,282.0,3.0,M,38,3031,1
1806,Hitech City,Bike,4,1.0,226.5,2.0,M,6,1114,1
9183,Secunderabad,Auto,6,,399.0,4.0,F,8,1547,0
8038,Khairtabad,Bike,4,2.0,375.0,,M,10,1026,1
5195,Masab Tank,Car,4,2.0,393.0,3.0,F,9,4941,0
6117,Secunderabad,Bike,5,3.0,330.0,3.0,F,9,5324,0
5170,Khairtabad,Bike,4,1.0,294.0,3.0,M,4,4634,1
964,Khairtabad,Auto,4,5.0,237.0,5.0,F,55,1936,1
779,Masab Tank,Bike,2,4.0,265.5,3.0,M,48,1113,1
19,Gachibowli,Bike,5,5.0,358.5,3.0,M,18,2495,1
10833,Secunderabad,Auto,3,,222.0,4.0,M,9,5536,0
4298,Hitech City,Bike,3,3.0,327.0,4.0,M,8,1883,0
386,Hitech City,Car,2,,273.0,2.0,F,57,2896,1
950,Hitech City,Car,4,,387.0,3.0,M,53,2428,1
4540,Khairtabad,Bike,2,4.0,382.5,7.0,M,10,5875,0
9592,Khairtabad,Auto,4,1.0,259.5,5.0,F,5,5049,1
2250,Hitech City,Bike,3,4.0,405.0,2.0,M,39,3690,1
8373,Secunderabad,Auto,4,2.0,369.0,3.0,M,1,5113,0
9464,Hitech City,Auto,5,2.0,307.5,3.0,F,1,4351,0
7199,Masab Tank,Bike,6,4.0,436.5,4.0,F,5,1112,1
1978,Khairtabad,Bike,3,3.0,220.5,,M,16,1563,1
887,Masab Tank,Bike,4,2.0,406.5,,F,19,2693,1
297,Secunderabad,Bike,4,,274.5,3.0,F,12,3646,1
10246,Khairtabad,Bike,5,5.0,295.5,4.0,F,7,4141,1
174,Hitech City,Bike,3,2.0,405.0,3.0,F,63,2751,1
6881,Masab Tank,Bike,4,4.0,370.5,6.0,F,4,1044,0
10886,Hitech City,Bike,4,4.0,265.5,5.0,M,7,4070,1
10189,Gachibowli,Bike,5,4.0,364.5,5.0,F,4,1813,0
10250,Hitech City,Car,3,1.0,400.5,3.0,F,8,5415,1
8592,Hitech City,Bike,4,4.0,216.0,8.0,M,6,4390,1
1357,Gachibowli,Car,4,,301.5,,M,41,3563,1
6916,Khairtabad,Bike,5,3.0,393.0,5.0,F,10,1197,1
6114,Hitech City,Bike,4,2.0,378.0,2.0,F,4,5233,1
3988,Khairtabad,Auto,3,,385.5,2.0,M,2,5251,1
1783,Gachibowli,Auto,5,2.0,280.5,,M,11,2936,1
2744,Hitech City,Auto,4,3.0,198.0,4.0,M,10,1767,1
2334,Hitech City,Auto,5,2.0,192.0,,F,45,1707,1
9677,Masab Tank,Bike,6,2.0,388.5,4.0,M,5,1771,1
5938,Khairtabad,Bike,3,3.0,397.5,3.0,F,8,5070,0
3551,Masab Tank,Car,3,,253.5,,F,1,4783,1
9262,Khairtabad,Bike,4,,319.5,3.0,M,2,5432,1
9999,Secunderabad,Auto,5,3.0,280.5,3.0,M,2,5967,0
6533,Masab Tank,Bike,3,5.0,390.0,4.0,F,8,4162,1
9532,Khairtabad,Bike,2,1.0,312.0,2.0,M,10,4671,1
4727,Masab Tank,Bike,4,2.0,409.5,2.0,F,5,5608,1
2112,Hitech City,Bike,3,2.0,318.0,2.0,F,65,3776,1
5129,Masab Tank,Bike,3,,406.5,4.0,M,3,4006,1
10896,Hitech City,Bike,6,3.0,366.0,3.0,M,4,5277,1
9673,Gachibowli,Bike,6,4.0,444.0,4.0,M,7,1969,0
3564,Hitech City,Auto,2,5.0,201.0,10.0,M,8,5472,0
7893,Secunderabad,Bike,6,2.0,148.5,3.0,M,8,5872,0
10485,Secunderabad,Bike,5,1.0,385.5,5.0,F,2,1323,0
1530,Hitech City,Bike,3,3.0,243.0,2.0,F,26,1659,1
3650,Hitech City,Bike,5,,399.0,6.0,F,5,5481,0
1669,Gachibowli,Bike,3,5.0,334.5,,F,46,3938,1
8481,Secunderabad,Car,5,5.0,264.0,3.0,F,8,5335,1
4717,Gachibowli,Bike,3,,390.0,2.0,M,1,5970,0
5029,Gachibowli,Bike,3,5.0,223.5,,M,5,1023,0
6342,Hitech City,Bike,5,,207.0,2.0,F,8,5885,1
3743,Masab Tank,Bike,4,5.0,346.5,3.0,M,4,5089,1
880,Khairtabad,Bike,5,,366.0,3.0,M,8,3571,1
2731,Gachibowli,Car,3,,216.0,3.0,M,56,1496,1
8356,Khairtabad,Auto,4,2.0,382.5,5.0,M,2,1255,0
5407,Gachibowli,Bike,4,,241.5,,M,3,4391,1
450,Hitech City,Bike,4,3.0,210.0,2.0,F,22,1248,1
2261,Masab Tank,Bike,3,2.0,312.0,4.0,M,52,2900,1
3152,Hitech City,Auto,2,4.0,411.0,10.0,M,3,4167,1
7734,Hitech City,Bike,6,3.0,451.5,4.0,F,2,1083,0
9683,Masab Tank,Bike,6,5.0,381.0,4.0,M,4,1887,1
7788,Hitech City,Car,4,4.0,369.0,,M,5,5029,1
1712,Hitech City,Bike,2,5.0,309.0,,F,46,2944,1
1498,Khairtabad,Car,3,2.0,270.0,,M,53,1853,1
10396,Khairtabad,Car,3,2.0,429.0,6.0,F,1,5035,1
3213,Secunderabad,Bike,4,,364.5,3.0,F,2,4909,0
4213,Gachibowli,Bike,3,,333.0,3.0,M,4,5149,0
941,Masab Tank,Car,2,1.0,169.5,5.0,F,9,1957,1
4565,Masab Tank,Bike,6,3.0,465.0,4.0,F,2,1817,0
4008,Hitech City,Bike,5,2.0,343.5,3.0,M,1,5189,1
5882,Hitech City,Car,3,4.0,214.5,3.0,F,1,4392,1
1540,Khairtabad,Bike,3,2.0,276.0,,F,10,2972,1
4756,Khairtabad,Bike,6,4.0,436.5,4.0,F,8,1131,0
6522,Hitech City,Bike,3,3.0,220.5,8.0,F,7,5822,0
8507,Masab Tank,Auto,3,2.0,343.5,3.0,M,9,4491,1
6616,Khairtabad,Bike,6,5.0,399.0,4.0,M,8,1709,0
5547,Secunderabad,Bike,3,,222.0,,F,1,4133,1
5119,Gachibowli,Bike,5,2.0,208.5,4.0,F,9,5070,1
9153,Secunderabad,Car,7,,400.5,4.0,M,8,1285,0
3147,Secunderabad,Auto,4,1.0,258.0,3.0,M,7,4883,0
7973,Masab Tank,Bike,4,,358.5,2.0,F,7,5384,0
6460,Khairtabad,Bike,4,3.0,300.0,4.0,F,10,4291,1
7869,Secunderabad,Bike,2,1.0,303.0,2.0,F,5,4456,0
5065,Gachibowli,Auto,3,5.0,243.0,2.0,M,4,4495,0
403,Gachibowli,Car,3,2.0,397.5,3.0,F,49,2791,1
4318,Khairtabad,Bike,4,5.0,316.5,4.0,F,10,4004,0
8379,Secunderabad,Bike,5,,402.0,3.0,F,8,5480,0
10810,Khairtabad,Car,4,,330.0,6.0,M,10,1878,1
5315,Masab Tank,Bike,3,5.0,271.5,4.0,F,1,4971,1
6252,Hitech City,Bike,4,,367.5,3.0,M,2,5835,1
8495,Masab Tank,Auto,3,2.0,376.5,,F,4,4074,0
4624,Khairtabad,Bike,5,3.0,336.0,,M,6,5962,1
4707,Secunderabad,Bike,4,,378.0,,F,9,4157,0
4406,Hitech City,Bike,3,,355.5,3.0,F,10,5851,0
9304,Khairtabad,Car,2,4.0,403.5,,M,2,4267,1
5025,Secunderabad,Bike,7,2.0,465.0,4.0,F,7,1294,0
5247,Secunderabad,Bike,5,2.0,181.5,5.0,F,4,5833,0
2568,Hitech City,Bike,2,4.0,382.5,,F,55,1663,1
8034,Hitech City,Bike,5,,372.0,5.0,F,3,1046,1
3263,Masab Tank,Car,4,4.0,298.5,4.0,F,5,4194,0
2839,Gachibowli,Bike,4,5.0,348.0,2.0,M,54,2526,1
5654,Hitech City,Bike,5,3.0,283.5,3.0,F,7,5830,1
4083,Secunderabad,Bike,6,2.0,216.0,7.0,M,1,5501,0
7958,Hitech City,Auto,7,5.0,462.0,5.0,M,6,1154,0
7020,Hitech City,Bike,4,4.0,208.5,3.0,M,2,5135,0
4774,Khairtabad,Car,6,,411.0,6.0,F,1,4632,0
8177,Masab Tank,Bike,5,4.0,276.0,3.0,F,1,4208,1
7451,Masab Tank,Bike,4,4.0,358.5,5.0,M,6,1986,1
10734,Hitech City,Bike,5,1.0,376.5,6.0,F,5,1827,0
3233,Masab Tank,Bike,3,3.0,382.5,,M,8,5955,1
4755,Secunderabad,Bike,5,5.0,412.5,,M,9,1215,1
926,Hitech City,Bike,5,3.0,325.5,,F,61,3067,1
411,Secunderabad,Auto,3,2.0,396.0,3.0,M,5,3861,1
7114,Khairtabad,Car,4,5.0,319.5,,F,7,4490,0
6347,Masab Tank,Bike,4,,334.5,,F,7,5935,0
8730,Hitech City,Bike,4,,358.5,3.0,M,6,5632,0
6913,Gachibowli,Bike,5,1.0,376.5,5.0,F,7,1924,1
9290,Hitech City,Car,5,4.0,411.0,,F,1,4030,0
1720,Khairtabad,Bike,3,2.0,364.5,3.0,M,31,3943,1
6323,Masab Tank,Bike,3,3.0,264.0,3.0,F,1,5168,0
4238,Hitech City,Car,2,1.0,205.5,3.0,M,1,4539,0
6316,Khairtabad,Auto,5,3.0,385.5,5.0,F,7,1565,1
3100,Khairtabad,Bike,3,4.0,258.0,3.0,M,32,1943,1
1568,Hitech City,Bike,4,1.0,348.0,2.0,F,26,3300,1
2394,Hitech City,Bike,4,,237.0,3.0,M,18,1036,1
5076,Hitech City,Auto,3,1.0,295.5,5.0,F,6,5919,0
6164,Hitech City,Auto,5,4.0,316.5,3.0,F,7,4856,0
5795,Masab Tank,Bike,5,4.0,268.5,6.0,F,8,4615,1
2688,Hitech City,Bike,3,4.0,312.0,3.0,F,23,2100,1
3575,Masab Tank,Auto,3,3.0,223.5,3.0,F,3,4189,0
2110,Khairtabad,Bike,4,3.0,223.5,2.0,F,58,1657,1
1309,Gachibowli,Bike,5,4.0,211.5,3.0,M,64,1677,1
7900,Khairtabad,Bike,5,5.0,391.5,5.0,M,9,5385,0
7566,Hitech City,Bike,4,2.0,354.0,3.0,M,4,4800,0
140,Hitech City,Auto,5,1.0,355.5,2.0,F,10,3860,1
10755,Secunderabad,Bike,5,5.0,340.5,5.0,M,5,1186,0
7972,Khairtabad,Bike,4,1.0,312.0,2.0,M,6,5266,0
2567,Masab Tank,Bike,2,4.0,208.5,8.0,F,62,1180,1
10143,Secunderabad,Auto,6,5.0,400.5,4.0,M,3,1550,0
4289,Masab Tank,Bike,4,2.0,226.5,3.0,M,10,5698,0
358,Khairtabad,Bike,2,3.0,370.5,,F,62,3127,1
9783,Secunderabad,Bike,3,,319.5,3.0,M,7,5516,1
1584,Hitech City,Bike,5,,321.0,,F,31,2033,1
5691,Secunderabad,Bike,3,5.0,214.5,3.0,F,10,5021,0
5231,Masab Tank,Bike,4,,393.0,3.0,M,9,4404,1
2814,Hitech City,Bike,4,4.0,190.5,,M,54,1239,1
1020,Hitech City,Bike,3,2.0,391.5,5.0,M,45,2488,1
2562,Hitech City,Bike,5,2.0,199.5,10.0,M,53,1674,1
1207,Gachibowli,Car,4,4.0,354.0,4.0,M,65,2280,1
5374,Khairtabad,Bike,3,3.0,381.0,2.0,M,8,4890,1
6929,Masab Tank,Bike,6,4.0,429.0,,F,8,1690,1
7990,Khairtabad,Bike,4,1.0,259.5,4.0,F,1,5789,0
9437,Masab Tank,Car,6,2.0,352.5,5.0,F,5,1051,1
1499,Masab Tank,Car,4,5.0,243.0,2.0,M,62,1650,1
7816,Khairtabad,Auto,3,,391.5,,M,10,4035,0
7512,Hitech City,Car,7,,412.5,4.0,F,3,1107,0
1718,Hitech City,Bike,3,1.0,151.5,2.0,F,56,1184,1
9218,Hitech City,Bike,4,5.0,300.0,4.0,F,2,4947,0
64,Khairtabad,Bike,3,1.0,265.5,3.0,M,61,1880,1
5937,Secunderabad,Bike,6,3.0,303.0,4.0,F,3,4496,1
8437,Gachibowli,Bike,3,1.0,370.5,4.0,F,8,5376,1
730,Khairtabad,Bike,3,1.0,226.5,2.0,F,4,1748,1
2463,Secunderabad,Auto,5,,336.0,4.0,M,43,2336,1
4953,Secunderabad,Bike,4,2.0,363.0,3.0,M,10,4721,0
4054,Khairtabad,Bike,3,5.0,409.5,10.0,F,5,4608,0
6029,Masab Tank,Auto,6,4.0,393.0,,F,10,1068,1
4698,Hitech City,Bike,4,4.0,399.0,2.0,F,5,5601,0
10879,Gachibowli,Bike,3,5.0,408.0,2.0,M,6,4652,0
2034,Hitech City,Car,3,2.0,396.0,4.0,F,32,2754,1
4841,Masab Tank,Bike,6,4.0,390.0,,M,2,4687,1
3791,Masab Tank,Bike,4,,367.5,2.0,M,8,5871,1
1276,Khairtabad,Bike,4,3.0,315.0,2.0,M,22,3124,1
7792,Khairtabad,Car,4,,355.5,3.0,F,8,5668,1
3069,Secunderabad,Bike,4,3.0,208.5,3.0,M,64,1814,1
810,Hitech City,Car,3,3.0,274.5,,F,45,2181,1
1330,Khairtabad,Bike,3,1.0,276.0,3.0,F,49,2823,1
6446,Hitech City,Auto,4,3.0,336.0,2.0,M,8,5961,1
10711,Gachibowli,Bike,4,2.0,393.0,6.0,F,2,1069,0
7839,Secunderabad,Bike,3,4.0,295.5,6.0,M,3,4890,1
9543,Secunderabad,Bike,3,1.0,363.0,5.0,F,3,4026,0
2706,Hitech City,Bike,3,,379.5,5.0,F,63,3788,1
6345,Secunderabad,Bike,4,5.0,292.5,2.0,M,2,4008,1
4322,Hitech City,Bike,3,,379.5,3.0,M,1,4263,1
6287,Masab Tank,Car,7,2.0,396.0,4.0,M,6,1688,0
118,Khairtabad,Car,4,3.0,397.5,2.0,F,31,2326,1
9760,Khairtabad,Bike,4,5.0,202.5,3.0,F,6,4557,0
54,Hitech City,Bike,2,1.0,255.0,3.0,M,41,1128,1
3593,Masab Tank,Bike,3,2.0,394.5,3.0,M,8,5447,1
242,Hitech City,Bike,2,4.0,210.0,3.0,F,33,1278,1
5751,Secunderabad,Auto,5,,375.0,4.0,M,4,4531,0
5043,Secunderabad,Car,6,3.0,370.5,4.0,F,9,1011,0
7962,Hitech City,Auto,7,1.0,462.0,4.0,M,5,1705,0
7313,Masab Tank,Bike,2,3.0,295.5,2.0,F,2,4277,0
9679,Gachibowli,Bike,6,5.0,447.0,4.0,M,3,1009,1
3479,Masab Tank,Bike,5,2.0,390.0,3.0,M,1,4799,1
6983,Masab Tank,Auto,3,3.0,204.0,2.0,M,10,5749,0
10963,Gachibowli,Auto,4,1.0,391.5,4.0,F,7,5600,1
9562,Khairtabad,Bike,4,,351.0,,M,2,4282,0
1685,Masab Tank,Bike,4,2.0,370.5,3.0,F,64,2198,1
8977,Gachibowli,Bike,3,,349.5,3.0,M,7,5838,0
7387,Gachibowli,Car,5,5.0,310.5,,M,8,5066,1
3948,Hitech City,Car,4,,303.0,3.0,M,9,4955,0
1612,Khairtabad,Bike,3,5.0,229.5,2.0,F,44,1585,1
2674,Khairtabad,Bike,3,1.0,247.5,3.0,M,61,1313,1
6116,Hitech City,Bike,5,1.0,289.5,,F,1,4450,0
1894,Khairtabad,Car,4,3.0,285.0,10.0,M,34,3935,1
7473,Secunderabad,Bike,4,,381.0,5.0,M,2,1573,1
10234,Khairtabad,Bike,5,1.0,237.0,2.0,M,6,4873,0
4483,Gachibowli,Bike,5,4.0,256.5,,M,1,5749,0
5743,Gachibowli,Car,3,1.0,261.0,3.0,M,7,4318,1
10796,Hitech City,Bike,4,3.0,348.0,,F,8,1265,0
9254,Hitech City,Bike,4,4.0,397.5,3.0,M,10,4741,0
8138,Hitech City,Bike,4,5.0,352.5,4.0,M,6,4633,1
3404,Hitech City,Car,3,,178.5,2.0,F,10,4146,1
2396,Hitech City,Bike,3,,268.5,3.0,F,12,1125,1
