ID,Location,Mode_of_delivery,Calls_to_customer_care,Rating_of_customer,Cost_of_food,Prior_purchases,Gender_of_customer,Discount_offered,Weight_of_food_in_gms,Reached_on_time
563,Masab Tank,Auto,3,2.0,205.5,2.0,M,17,1673,1
574,Khairtabad,Bike,4,3.0,162.0,6.0,F,22,1745,1
584,Hitech City,Bike,5,5.0,273.0,3.0,F,27,3039,1
590,Hitech City,Bike,3,2.0,267.0,2.0,F,59,1933,1
592,Khairtabad,Bike,3,,421.5,2.0,M,55,3047,1
598,Khairtabad,Bike,3,4.0,201.0,3.0,F,31,1540,1
599,Masab Tank,Bike,4,,405.0,2.0,F,34,2821,1
600,Hitech City,Bike,4,1.0,210.0,3.0,F,1,1464,1
603,Secunderabad,Bike,4,3.0,309.0,,M,58,2135,1
608,Hitech City,Bike,3,1.0,250.5,2.0,F,34,1967,1
609,Secunderabad,Bike,4,,336.0,3.0,M,60,3145,1
614,Hitech City,Bike,4,5.0,370.5,2.0,F,18,2404,1
620,Hitech City,Bike,3,5.0,336.0,2.0,M,13,3891,1
623,Masab Tank,Bike,3,4.0,379.5,3.0,M,6,3788,1
625,Gachibowli,Bike,4,3.0,397.5,3.0,F,65,3578,1
626,Hitech City,Bike,3,2.0,357.0,3.0,F,54,3142,1
631,Gachibowli,Bike,3,1.0,232.5,,F,27,1022,1
634,Khairtabad,Bike,2,3.0,246.0,2.0,M,56,1491,1
637,Gachibowli,Bike,3,4.0,288.0,,F,56,3765,1
641,Masab Tank,Bike,4,,235.5,2.0,F,2,1087,1
651,Secunderabad,Bike,3,4.0,246.0,3.0,M,13,1158,1
655,Gachibowli,Bike,4,5.0,373.5,2.0,M,4,2725,1
665,Masab Tank,Car,4,,295.5,3.0,F,34,3784,1
669,Secunderabad,Car,5,1.0,268.5,3.0,F,62,1945,1
672,Hitech City,Car,3,,399.0,2.0,M,46,3594,1
676,Khairtabad,Car,4,4.0,340.5,3.0,F,1,2761,1
677,Masab Tank,Car,4,,283.5,,F,15,2457,1
678,Hitech City,Car,6,,240.0,2.0,F,31,1689,1
688,Khairtabad,Auto,4,5.0,409.5,2.0,M,63,3516,1
690,Hitech City,Auto,3,,207.0,3.0,F,37,1266,1
692,Hitech City,Auto,5,5.0,210.0,3.0,F,42,1384,1
693,Secunderabad,Auto,4,1.0,375.0,2.0,M,17,3544,1
694,Khairtabad,Auto,3,3.0,310.5,7.0,M,19,2182,1
696,Hitech City,Auto,4,1.0,268.5,3.0,M,63,1215,1
701,Masab Tank,Auto,6,1.0,421.5,3.0,F,36,2536,1
711,Secunderabad,Bike,3,4.0,175.5,3.0,M,23,1527,1
713,Masab Tank,Bike,4,2.0,301.5,3.0,F,39,2066,1
714,Hitech City,Bike,3,3.0,409.5,2.0,F,16,2466,1
719,Masab Tank,Bike,4,5.0,280.5,2.0,M,44,3218,1
724,Khairtabad,Bike,5,,210.0,3.0,F,56,1332,1
725,Masab Tank,Bike,4,3.0,375.0,2.0,F,46,2878,1
732,Hitech City,Bike,6,5.0,169.5,3.0,F,35,1402,1
736,Khairtabad,Bike,4,1.0,388.5,3.0,M,39,2427,1
739,Gachibowli,Bike,3,2.0,334.5,3.0,F,6,2127,1
741,Secunderabad,Bike,4,5.0,208.5,3.0,F,65,1277,1
743,Masab Tank,Bike,3,5.0,270.0,4.0,F,59,1481,1
745,Gachibowli,Bike,2,4.0,420.0,4.0,M,48,1463,1
746,Hitech City,Bike,7,5.0,364.5,5.0,M,28,1100,1
755,Masab Tank,Bike,3,5.0,307.5,6.0,F,25,2232,1
757,Gachibowli,Bike,4,,292.5,5.0,F,10,3537,1
770,Hitech City,Bike,4,,171.0,3.0,F,9,1240,1
771,Secunderabad,Bike,3,4.0,268.5,4.0,F,44,1004,1
775,Gachibowli,Bike,3,5.0,165.0,3.0,M,55,1875,1
783,Secunderabad,Bike,4,5.0,322.5,2.0,F,34,2258,1
785,Masab Tank,Bike,3,,313.5,2.0,M,43,2237,1
786,Hitech City,Bike,2,3.0,216.0,3.0,M,40,1500,1
790,Khairtabad,Bike,3,2.0,207.0,3.0,F,34,1159,1
792,Hitech City,Bike,5,4.0,199.5,2.0,M,30,1161,1
794,Hitech City,Bike,4,3.0,385.5,,M,5,2489,1
799,Gachibowli,Car,4,3.0,276.0,3.0,F,19,2774,1
807,Secunderabad,Car,3,1.0,217.5,4.0,F,58,1751,1
815,Masab Tank,Car,4,4.0,241.5,3.0,F,59,1165,1
817,Gachibowli,Car,4,1.0,264.0,,F,36,1891,1
822,Hitech City,Auto,2,,147.0,3.0,F,29,1806,1
828,Hitech City,Auto,4,2.0,313.5,,F,23,2533,1
832,Khairtabad,Auto,3,,336.0,3.0,F,20,2937,1
836,Hitech City,Auto,3,5.0,327.0,4.0,M,60,3048,1
837,Secunderabad,Auto,3,4.0,343.5,2.0,M,51,2628,1
864,Hitech City,Bike,2,3.0,282.0,3.0,F,51,3191,1
871,Gachibowli,Bike,4,5.0,220.5,3.0,F,46,1469,1
872,Hitech City,Bike,4,2.0,312.0,3.0,M,17,2777,1
873,Secunderabad,Bike,3,1.0,267.0,5.0,F,15,1242,1
876,Hitech City,Bike,4,1.0,333.0,,M,45,3158,1
879,Secunderabad,Bike,6,,307.5,,M,14,3213,1
889,Gachibowli,Bike,3,5.0,318.0,3.0,M,6,2069,1
890,Hitech City,Bike,5,3.0,297.0,4.0,M,65,3407,1
899,Masab Tank,Bike,3,5.0,363.0,3.0,M,19,3753,1
903,Secunderabad,Bike,3,,375.0,3.0,F,33,3463,1
904,Khairtabad,Bike,4,1.0,214.5,2.0,M,3,1996,1
908,Hitech City,Bike,5,,247.5,2.0,M,54,1190,1
910,Khairtabad,Bike,4,5.0,279.0,10.0,F,42,3521,1
912,Hitech City,Bike,2,,244.5,,F,37,1079,1
917,Masab Tank,Bike,5,5.0,391.5,8.0,M,39,2103,1
918,Hitech City,Bike,5,3.0,282.0,,M,3,3637,1
921,Secunderabad,Bike,3,2.0,321.0,2.0,M,26,3503,1
928,Khairtabad,Bike,3,3.0,268.5,2.0,F,60,1808,1
931,Gachibowli,Bike,4,3.0,243.0,2.0,M,2,1714,1
932,Hitech City,Bike,3,2.0,202.5,,M,27,1898,1
936,Hitech City,Car,5,2.0,312.0,3.0,M,8,3442,1
937,Gachibowli,Car,3,2.0,375.0,3.0,F,49,3798,1
940,Khairtabad,Car,4,1.0,220.5,3.0,F,15,1956,1
952,Khairtabad,Car,5,4.0,282.0,7.0,F,48,2466,1
954,Hitech City,Car,3,1.0,240.0,10.0,F,29,1952,1
955,Gachibowli,Auto,3,1.0,321.0,2.0,F,50,2720,1
971,Masab Tank,Auto,6,,177.0,2.0,M,40,1014,1
973,Gachibowli,Auto,4,5.0,364.5,2.0,M,23,2686,1
975,Secunderabad,Auto,5,,144.0,4.0,F,12,1655,1
980,Hitech City,Bike,4,,210.0,,F,47,1831,1
983,Masab Tank,Bike,3,2.0,262.5,4.0,F,17,1276,1
987,Secunderabad,Bike,5,4.0,385.5,,M,55,2257,1
991,Gachibowli,Bike,3,2.0,351.0,,M,33,2789,1
994,Khairtabad,Bike,4,3.0,315.0,3.0,F,6,2568,1
996,Hitech City,Bike,4,,211.5,2.0,M,52,1012,1
998,Hitech City,Bike,3,5.0,246.0,3.0,F,43,1423,1
1004,Hitech City,Bike,3,3.0,381.0,3.0,M,3,2837,1
1009,Gachibowli,Bike,4,1.0,397.5,,M,18,3327,1
1011,Secunderabad,Bike,2,,342.0,2.0,F,49,3024,1
1019,Masab Tank,Bike,3,2.0,250.5,2.0,M,2,1010,1
1026,Hitech City,Bike,5,4.0,286.5,4.0,M,63,2039,1
1028,Hitech City,Bike,3,1.0,219.0,3.0,M,16,1714,1
1040,Hitech City,Bike,2,,412.5,2.0,M,41,2546,1
1043,Masab Tank,Bike,5,,255.0,3.0,F,60,1883,1
1044,Hitech City,Bike,4,2.0,376.5,2.0,M,53,2673,1
1045,Gachibowli,Bike,3,3.0,307.5,,F,58,2187,1
1055,Masab Tank,Bike,2,4.0,286.5,3.0,F,58,2586,1
1056,Hitech City,Bike,3,,228.0,3.0,M,5,1385,1
1059,Secunderabad,Bike,4,3.0,390.0,4.0,M,40,3668,1
1061,Masab Tank,Bike,5,3.0,378.0,4.0,M,63,3729,1
1071,Secunderabad,Car,3,4.0,375.0,2.0,M,61,3207,1
1075,Gachibowli,Car,4,,402.0,3.0,F,3,2758,1
1077,Secunderabad,Car,3,4.0,292.5,3.0,M,10,2021,1
1081,Gachibowli,Car,3,1.0,336.0,3.0,F,45,3624,1
1089,Secunderabad,Car,5,,294.0,,M,44,2085,1
1094,Hitech City,Auto,2,,324.0,2.0,F,57,3807,1
1095,Secunderabad,Auto,3,,277.5,,M,3,3051,1
1096,Khairtabad,Auto,4,2.0,298.5,,M,23,2994,1
1098,Hitech City,Auto,3,,394.5,3.0,F,57,2113,1
1117,Gachibowli,Bike,4,2.0,273.0,3.0,M,58,3943,1
1123,Gachibowli,Bike,4,1.0,271.5,4.0,F,46,2399,1
1144,Khairtabad,Bike,3,,336.0,,F,37,3220,1
1146,Hitech City,Bike,5,1.0,279.0,,M,64,2529,1
1148,Hitech City,Bike,5,5.0,261.0,6.0,F,26,1184,1
1152,Hitech City,Bike,2,2.0,264.0,5.0,F,55,1211,1
1154,Hitech City,Bike,6,5.0,231.0,10.0,F,48,1990,1
1163,Masab Tank,Bike,4,,280.5,4.0,M,37,2200,1
1171,Gachibowli,Bike,5,1.0,297.0,5.0,F,49,3187,1
1194,Hitech City,Bike,3,4.0,399.0,2.0,M,49,2643,1
1195,Gachibowli,Bike,4,1.0,190.5,8.0,F,12,1519,1
1199,Masab Tank,Bike,4,,237.0,4.0,F,13,1785,1
1201,Gachibowli,Bike,4,2.0,357.0,,F,28,1915,1
1202,Hitech City,Bike,6,1.0,319.5,3.0,M,63,1548,1
1203,Secunderabad,Bike,4,,355.5,2.0,M,21,1495,1
1204,Khairtabad,Bike,4,,385.5,3.0,M,47,1308,1
1209,Secunderabad,Car,3,1.0,231.0,2.0,F,44,1994,1
1211,Masab Tank,Car,5,,192.0,,M,34,1008,1
1213,Gachibowli,Car,2,4.0,280.5,3.0,M,50,3878,1
1230,Hitech City,Auto,3,2.0,178.5,,M,32,1791,1
1231,Gachibowli,Auto,5,4.0,318.0,6.0,F,5,2041,1
1240,Khairtabad,Auto,4,5.0,235.5,,M,28,1557,1
1244,Hitech City,Auto,6,,256.5,,M,61,1947,1
1249,Gachibowli,Auto,5,,325.5,3.0,M,27,2999,1
1251,Secunderabad,Bike,4,,288.0,4.0,F,46,3599,1
1253,Masab Tank,Bike,5,5.0,339.0,3.0,F,65,3840,1
1258,Khairtabad,Bike,3,5.0,328.5,3.0,F,54,3145,1
1259,Masab Tank,Bike,4,,399.0,2.0,F,15,3425,1
1260,Hitech City,Bike,5,1.0,216.0,,F,20,1082,1
1265,Masab Tank,Bike,4,3.0,213.0,2.0,F,63,1615,1
1271,Masab Tank,Bike,4,4.0,237.0,3.0,M,63,1387,1
1279,Gachibowli,Bike,3,,277.5,3.0,M,47,2467,1
1281,Secunderabad,Bike,3,4.0,268.5,3.0,M,57,1582,1
1284,Hitech City,Bike,4,1.0,400.5,3.0,M,37,2716,1
1286,Hitech City,Bike,5,2.0,294.0,3.0,M,38,2211,1
1291,Gachibowli,Bike,4,3.0,363.0,3.0,M,1,2808,1
1292,Hitech City,Bike,3,4.0,318.0,2.0,M,13,2733,1
1296,Hitech City,Bike,5,3.0,277.5,3.0,M,25,2503,1
1297,Gachibowli,Bike,3,5.0,286.5,3.0,M,54,3890,1
1303,Gachibowli,Bike,4,1.0,228.0,3.0,F,65,1706,1
1312,Khairtabad,Bike,3,,241.5,,F,25,1048,1
1316,Hitech City,Bike,5,3.0,279.0,4.0,M,23,3981,1
1318,Khairtabad,Bike,4,4.0,166.5,6.0,M,8,1145,1
1323,Secunderabad,Bike,2,3.0,211.5,2.0,F,28,1624,1
1350,Hitech City,Car,2,4.0,385.5,6.0,M,5,3986,1
1351,Gachibowli,Car,4,1.0,303.0,3.0,M,59,2563,1
1352,Hitech City,Car,5,5.0,367.5,4.0,F,12,2225,1
1354,Khairtabad,Car,3,2.0,237.0,3.0,F,39,1512,1
1360,Khairtabad,Car,5,5.0,394.5,,M,59,3238,1
1366,Khairtabad,Auto,3,1.0,250.5,3.0,M,1,1252,1
1367,Masab Tank,Auto,4,5.0,207.0,,F,64,1708,1
1370,Hitech City,Auto,3,2.0,228.0,,F,7,1674,1
1371,Secunderabad,Auto,5,3.0,298.5,4.0,F,24,3473,1
1372,Khairtabad,Auto,5,4.0,402.0,,M,6,2206,1
1383,Secunderabad,Auto,6,2.0,337.5,6.0,M,44,2057,1
1389,Secunderabad,Bike,5,1.0,345.0,3.0,F,43,2994,1
1398,Hitech City,Bike,4,,357.0,3.0,F,28,1040,1
1405,Gachibowli,Bike,4,3.0,225.0,2.0,M,51,1491,1
1406,Hitech City,Bike,5,1.0,285.0,4.0,M,24,3446,1
1413,Secunderabad,Bike,6,,177.0,,F,2,1744,1
1414,Khairtabad,Bike,3,4.0,364.5,2.0,F,14,3693,1
1426,Khairtabad,Bike,5,2.0,358.5,2.0,F,15,2471,1
1432,Khairtabad,Bike,5,5.0,270.0,5.0,M,35,1725,1
1433,Masab Tank,Bike,7,,343.5,3.0,F,43,1793,1
1438,Khairtabad,Bike,4,3.0,229.5,3.0,M,2,1095,1
1442,Hitech City,Bike,3,4.0,199.5,3.0,M,17,1187,1
1443,Secunderabad,Bike,3,,232.5,4.0,M,54,1885,1
1444,Khairtabad,Bike,5,3.0,276.0,4.0,F,2,3798,1
1448,Hitech City,Bike,4,,231.0,3.0,M,52,1367,1
1451,Masab Tank,Bike,3,4.0,427.5,6.0,F,27,2249,1
1458,Hitech City,Bike,4,4.0,348.0,4.0,M,27,3436,1
1459,Gachibowli,Bike,3,,346.5,,M,55,3952,1
1465,Gachibowli,Bike,3,2.0,339.0,3.0,M,11,3708,1
1469,Masab Tank,Bike,5,5.0,336.0,3.0,F,48,2298,1
1476,Hitech City,Bike,4,3.0,406.5,3.0,M,59,2996,1
1479,Secunderabad,Bike,3,4.0,205.5,3.0,F,17,1212,1
1481,Masab Tank,Car,4,1.0,339.0,3.0,F,28,2211,1
1485,Secunderabad,Car,3,1.0,270.0,2.0,F,65,1321,1
1487,Masab Tank,Car,3,1.0,313.5,3.0,F,20,3181,1
1492,Khairtabad,Car,5,5.0,339.0,3.0,M,23,2626,1
1496,Hitech City,Car,4,3.0,298.5,,F,28,2607,1
1503,Secunderabad,Auto,3,4.0,202.5,3.0,M,11,1740,1
1515,Secunderabad,Auto,3,2.0,361.5,3.0,F,60,3922,1
1516,Khairtabad,Auto,4,4.0,391.5,,F,33,3678,1
1519,Gachibowli,Auto,3,5.0,235.5,4.0,M,26,1969,1
1523,Masab Tank,Auto,3,1.0,234.0,3.0,F,1,1517,1
1535,Masab Tank,Bike,3,,253.5,2.0,F,20,1021,1
1539,Secunderabad,Bike,4,,213.0,,M,2,1461,1
1547,Masab Tank,Bike,3,3.0,307.5,2.0,F,15,3231,1
1570,Khairtabad,Bike,5,,193.5,,M,35,1458,1
1573,Gachibowli,Bike,2,1.0,378.0,,F,12,2800,1
1578,Hitech City,Bike,5,4.0,394.5,3.0,M,61,2606,1
1579,Gachibowli,Bike,5,4.0,229.5,,M,35,1082,1
1582,Khairtabad,Bike,5,1.0,250.5,2.0,M,62,1884,1
1591,Gachibowli,Bike,4,,408.0,,M,49,2803,1
1596,Hitech City,Bike,4,3.0,237.0,,F,27,1207,1
1602,Hitech City,Bike,4,1.0,366.0,,M,59,3073,1
1605,Secunderabad,Bike,2,,217.5,2.0,M,1,1126,1
1606,Khairtabad,Bike,5,2.0,210.0,4.0,M,58,1175,1
1608,Hitech City,Bike,3,3.0,349.5,3.0,M,35,2204,1
1614,Hitech City,Bike,4,4.0,214.5,8.0,F,39,1345,1
1617,Secunderabad,Bike,3,4.0,181.5,3.0,F,63,1611,1
1622,Hitech City,Car,5,,390.0,,M,58,2018,1
1624,Khairtabad,Car,3,4.0,235.5,,M,12,1694,1
1629,Secunderabad,Car,4,2.0,210.0,,F,49,1820,1
1631,Masab Tank,Car,6,2.0,429.0,,F,65,3362,1
1632,Hitech City,Car,5,5.0,336.0,8.0,F,49,3282,1
1637,Masab Tank,Car,2,1.0,217.5,,F,49,1177,1
1648,Khairtabad,Auto,4,,297.0,,M,64,3787,1
1651,Gachibowli,Auto,4,2.0,304.5,5.0,F,20,3098,1
1652,Hitech City,Auto,4,1.0,250.5,3.0,F,57,1782,1
1664,Hitech City,Bike,5,5.0,336.0,8.0,F,48,2627,1
1665,Secunderabad,Bike,3,5.0,306.0,3.0,F,45,2513,1
1667,Masab Tank,Bike,4,5.0,402.0,,F,59,2083,1
1668,Hitech City,Bike,4,5.0,400.5,4.0,M,20,3132,1
1673,Masab Tank,Bike,3,,390.0,3.0,M,52,2874,1
1674,Hitech City,Bike,2,,205.5,5.0,F,3,1037,1
1680,Hitech City,Bike,5,2.0,397.5,,M,24,2415,1
1691,Masab Tank,Bike,3,,261.0,2.0,M,51,1430,1
1709,Masab Tank,Bike,4,2.0,319.5,4.0,F,37,2184,1
1721,Masab Tank,Bike,2,1.0,265.5,4.0,M,63,1058,1
1756,Khairtabad,Car,5,,240.0,,M,25,1977,1
1758,Hitech City,Car,4,3.0,325.5,3.0,M,51,3144,1
1760,Hitech City,Car,5,4.0,292.5,2.0,M,4,3108,1
1762,Khairtabad,Car,4,,267.0,3.0,F,23,1695,1
1765,Gachibowli,Car,2,,250.5,2.0,M,46,1023,1
1768,Khairtabad,Car,5,2.0,408.0,2.0,F,37,2226,1
1773,Secunderabad,Car,5,3.0,306.0,2.0,M,40,2181,1
1778,Hitech City,Auto,4,3.0,201.0,3.0,F,21,1955,1
1782,Hitech City,Auto,4,,219.0,2.0,M,52,1459,1
1788,Hitech City,Auto,4,2.0,202.5,2.0,M,54,1011,1
1791,Secunderabad,Auto,6,2.0,307.5,,F,61,2018,1
1794,Hitech City,Auto,3,1.0,244.5,3.0,M,59,1005,1
1797,Secunderabad,Auto,4,1.0,363.0,,M,34,3966,1
1798,Khairtabad,Auto,5,4.0,343.5,2.0,M,9,3667,1
1799,Masab Tank,Bike,5,1.0,286.5,3.0,M,56,3538,1
1800,Hitech City,Bike,3,,346.5,2.0,M,49,2341,1
1804,Khairtabad,Bike,3,4.0,226.5,3.0,M,16,1020,1
1815,Secunderabad,Bike,5,,390.0,3.0,M,43,2143,1
1819,Gachibowli,Bike,5,2.0,421.5,4.0,F,5,3357,1
1825,Gachibowli,Bike,4,,390.0,3.0,F,14,2071,1
1827,Secunderabad,Bike,4,,282.0,3.0,F,6,3361,1
1828,Khairtabad,Bike,4,4.0,319.5,3.0,M,11,2037,1
1832,Hitech City,Bike,2,3.0,316.5,,F,12,3296,1
